Time (YY:MM:DD hh:mm:ss.s),Flow (US GPM),Energy NET (BTU),RTD1 Temperature (F),RTD2 Temperature (F)
9/6/2018 14:16:30.8,473.61,-768983.5,69.51,78.10
9/6/2018 14:26:30.8,953.13,-1183169.2,69.06,75.04
9/6/2018 14:36:30.8,647.13,-1650614.0,69.15,77.04
9/6/2018 14:46:30.8,657.70,-2025308.7,68.05,74.35
9/6/2018 14:56:30.8,677.36,-2419162.2,69.15,76.30
9/6/2018 15:06:30.8,658.19,-2793839.2,69.10,75.81
9/6/2018 15:16:30.8,646.40,-3173792.5,69.08,76.46
9/6/2018 15:26:30.8,655.00,-3539102.7,69.13,75.49
9/6/2018 15:36:30.8,660.40,-3884127.0,68.99,75.58
9/6/2018 15:46:30.8,616.66,-4241440.5,69.26,76.23
9/6/2018 15:56:30.8,655.49,-4609000.5,69.30,75.92
9/6/2018 16:06:30.8,642.22,-4981611.0,69.30,77.00
9/6/2018 16:16:30.8,639.51,-5317137.5,68.90,75.15
9/6/2018 16:26:30.8,654.01,-5683001.5,69.44,76.41
9/6/2018 16:36:30.8,643.20,-6040438.0,69.40,75.81
9/6/2018 16:46:30.8,655.49,-6383295.0,69.12,75.65
9/6/2018 16:56:30.8,664.34,-6745926.0,69.26,75.92
9/6/2018 17:06:30.8,946.98,-7073319.0,69.10,71.96
9/6/2018 17:16:30.8,463.04,-7291106.0,71.82,79.70
9/6/2018 17:26:30.8,465.75,-7564762.5,77.49,83.34
9/6/2018 17:36:30.8,472.38,-7795598.5,79.63,85.51
9/6/2018 17:46:30.8,474.84,-8025028.0,81.10,86.94
9/6/2018 17:56:30.8,470.66,-8248636.0,82.13,87.94
9/6/2018 18:06:30.8,471.89,-8471084.0,82.72,88.56
9/6/2018 18:16:30.8,473.37,-8694582.0,83.14,88.74
9/6/2018 18:26:30.8,470.91,-8914194.0,83.34,88.93
9/6/2018 18:36:30.8,472.14,-9137015.0,83.23,88.88
9/6/2018 18:46:30.8,467.47,-9356191.0,83.12,88.66
9/6/2018 18:56:30.8,466.48,-9572785.0,82.92,88.54
9/6/2018 19:06:30.8,468.94,-9787728.0,83.03,88.48
9/6/2018 19:16:30.8,471.40,-10001547.0,82.71,88.21
9/6/2018 19:26:30.8,471.65,-10213639.0,82.56,88.00
9/6/2018 19:36:30.8,470.42,-10423908.0,82.53,87.87
9/6/2018 19:46:30.8,479.27,-10630844.0,82.42,87.67
9/6/2018 19:56:30.8,469.93,-10839728.0,81.82,87.19
9/6/2018 20:06:30.8,471.65,-11045849.0,81.82,87.03
9/6/2018 20:16:30.8,463.04,-11246144.0,81.86,86.94
9/6/2018 20:26:30.8,470.42,-11441525.0,81.30,86.31
9/6/2018 20:36:30.8,472.87,-11631921.0,81.05,85.86
9/6/2018 20:46:30.8,474.84,-11823469.0,80.49,85.48
9/6/2018 20:56:30.8,464.03,-12011843.0,80.24,84.92
9/6/2018 21:06:30.8,478.77,-12189106.0,79.47,83.68
9/6/2018 21:16:30.8,470.91,-12344824.0,78.17,82.18
